Date,Region,Temperature (°C),Rainfall (mm),Humidity (%),Crop Yield Impact Score,fruit_Commodity,fruit_Price per Unit (LKR/kg),vegitable_Commodity,vegitable_Price per Unit (LKR/kg)
1/2/2020,Matara,31,179.8,85.4,1.48,Pineapple,467.44,Long Purple Eggplant,449.82
1/2/2020,Monaragala,33,215.5,94,1.92,Pineapple,278.99,Long Purple Eggplant,59.75
1/2/2020,Mullaitivu,28.2,86.3,59.4,1.53,Pineapple,183.84,Long Purple Eggplant,74.47
1/2/2020,Nuwara Eliya,32.4,65.8,80.8,1.96,Pineapple,225.22,Long Purple Eggplant,390.39
1/2/2020,Polonnaruwa,37.2,327.4,64.4,1.94,Pineapple,192.41,Long Purple Eggplant,223.16
1/2/2020,Puttalam,23.4,318,58.9,1.19,Pineapple,303.34,Long Purple Eggplant,167.31
1/2/2020,Ratnapura,26.8,197.1,51.9,1.21,Pineapple,461.38,Long Purple Eggplant,340.26
1/2/2020,Trincomalee,34.1,292.7,94.5,1.42,Pineapple,206.29,Long Purple Eggplant,252.51
1/2/2020,Vavuniya,28.1,208.9,90.4,0.81,Pineapple,457.87,Long Purple Eggplant,316.04
1/2/2020,Ampara,34.4,384,69.3,1.67,Wood Apple,304.75,Asiatic Pennywort,223.05
1/2/2020,Anuradhapura,33,21.7,63.5,1.64,Wood Apple,127.67,Asiatic Pennywort,90.03
1/2/2020,Badulla,35.7,121.8,73.5,1.73,Wood Apple,131.39,Asiatic Pennywort,140.03
1/2/2020,Batticaloa,30.5,243.7,52.7,1.62,Wood Apple,198.08,Asiatic Pennywort,216.23
1/2/2020,Colombo,35.4,3.2,93.1,0.54,Wood Apple,299.36,Asiatic Pennywort,293.91
1/2/2020,Galle,22.6,198.9,85.1,1.29,Wood Apple,419.56,Asiatic Pennywort,359.41
1/2/2020,Gampaha,37,16.3,76.3,1.2,Wood Apple,265.13,Asiatic Pennywort,134.48
1/2/2020,Hambantota,26.8,190.5,83.5,0.93,Wood Apple,262.54,Asiatic Pennywort,489.37
1/2/2020,Jaffna,26,115.5,60.7,0.99,Wood Apple,270.07,Asiatic Pennywort,278.6
1/2/2020,Kalutara,30.7,71.2,75.3,1.57,Wood Apple,394.74,Asiatic Pennywort,215.36
1/2/2020,Kandy,37.2,164.4,84.6,1.81,Wood Apple,376.06,Asiatic Pennywort,163.53
1/2/2020,Kegalle,22.6,41.9,93.8,1.96,Wood Apple,288.01,Asiatic Pennywort,164.61
1/2/2020,Kilinochchi,20.4,168.1,87.3,1.98,Wood Apple,145.29,Asiatic Pennywort,422.87
1/2/2020,Kurunegala,29.5,398.9,91.1,1.08,Wood Apple,395.76,Asiatic Pennywort,146.49
1/2/2020,Mannar,22.3,327.3,88.8,0.86,Wood Apple,234.88,Asiatic Pennywort,316.33
1/2/2020,Matale,31.7,398.3,69.7,1.67,Wood Apple,185.89,Asiatic Pennywort,496.85
1/2/2020,Matara,31,179.8,85.4,1.48,Wood Apple,349.05,Asiatic Pennywort,171.78
1/2/2020,Monaragala,33,215.5,94,1.92,Wood Apple,369.88,Asiatic Pennywort,239.36
1/2/2020,Mullaitivu,28.2,86.3,59.4,1.53,Wood Apple,207.75,Asiatic Pennywort,362.93
1/2/2020,Nuwara Eliya,32.4,65.8,80.8,1.96,Wood Apple,496.56,Asiatic Pennywort,440.16
1/2/2020,Polonnaruwa,37.2,327.4,64.4,1.94,Wood Apple,397.77,Asiatic Pennywort,374.07
1/2/2020,Puttalam,23.4,318,58.9,1.19,Wood Apple,432.28,Asiatic Pennywort,198.55
1/2/2020,Ratnapura,26.8,197.1,51.9,1.21,Wood Apple,360.9,Asiatic Pennywort,140.19
1/2/2020,Trincomalee,34.1,292.7,94.5,1.42,Wood Apple,451.46,Asiatic Pennywort,479.65
1/2/2020,Vavuniya,28.1,208.9,90.4,0.81,Wood Apple,499.18,Asiatic Pennywort,57.11
1/2/2020,Ampara,34.4,384,69.3,1.67,Beli Fruit,284.84,Red Spinach,377.94
1/2/2020,Anuradhapura,33,21.7,63.5,1.64,Beli Fruit,211.8,Red Spinach,469.19
1/2/2020,Badulla,35.7,121.8,73.5,1.73,Beli Fruit,377.17,Red Spinach,249.96
1/2/2020,Batticaloa,30.5,243.7,52.7,1.62,Beli Fruit,497.63,Red Spinach,269.29
1/2/2020,Colombo,35.4,3.2,93.1,0.54,Beli Fruit,251.91,Red Spinach,192.32
1/2/2020,Galle,22.6,198.9,85.1,1.29,Beli Fruit,466.91,Red Spinach,420.98
1/2/2020,Gampaha,37,16.3,76.3,1.2,Beli Fruit,321.45,Red Spinach,163.21
1/2/2020,Hambantota,26.8,190.5,83.5,0.93,Beli Fruit,127.61,Red Spinach,201.74
1/2/2020,Jaffna,26,115.5,60.7,0.99,Beli Fruit,167.32,Red Spinach,424.69
1/2/2020,Kalutara,30.7,71.2,75.3,1.57,Beli Fruit,317.81,Red Spinach,487.76
1/2/2020,Kandy,37.2,164.4,84.6,1.81,Beli Fruit,68.35,Red Spinach,75.87
1/2/2020,Kegalle,22.6,41.9,93.8,1.96,Beli Fruit,133.91,Red Spinach,344.05
1/2/2020,Kilinochchi,20.4,168.1,87.3,1.98,Beli Fruit,300.85,Red Spinach,243.31
1/2/2020,Kurunegala,29.5,398.9,91.1,1.08,Beli Fruit,266.46,Red Spinach,139.52
1/2/2020,Mannar,22.3,327.3,88.8,0.86,Beli Fruit,261.67,Red Spinach,407.73
1/2/2020,Matale,31.7,398.3,69.7,1.67,Beli Fruit,100.76,Red Spinach,135
1/2/2020,Matara,31,179.8,85.4,1.48,Beli Fruit,281.42,Red Spinach,270.37
1/2/2020,Monaragala,33,215.5,94,1.92,Beli Fruit,334.52,Red Spinach,228.12
1/3/2020,Mullaitivu,28.2,86.3,59.4,1.53,Beli Fruit,381.25,Red Spinach,218.67
1/3/2020,Nuwara Eliya,32.4,65.8,80.8,1.96,Beli Fruit,63.09,Red Spinach,190.37
1/3/2020,Polonnaruwa,37.2,327.4,64.4,1.94,Beli Fruit,92.93,Red Spinach,372.6
1/3/2020,Puttalam,23.4,318,58.9,1.19,Beli Fruit,378.69,Red Spinach,283.69
1/3/2020,Ratnapura,26.8,197.1,51.9,1.21,Beli Fruit,162.57,Red Spinach,200.11
1/3/2020,Trincomalee,34.1,292.7,94.5,1.42,Beli Fruit,355.23,Red Spinach,217.3
1/3/2020,Vavuniya,28.1,208.9,90.4,0.81,Beli Fruit,303.72,Red Spinach,220.37
1/3/2020,Ampara,34.4,384,69.3,1.67,Guava,244.95,Pennywort,480.02
1/3/2020,Anuradhapura,33,21.7,63.5,1.64,Guava,472.07,Pennywort,484.72
1/3/2020,Badulla,35.7,121.8,73.5,1.73,Guava,133.22,Pennywort,298.97
1/3/2020,Batticaloa,30.5,243.7,52.7,1.62,Guava,221.42,Pennywort,186.82
1/3/2020,Colombo,35.4,3.2,93.1,0.54,Guava,398.57,Pennywort,420.84
1/3/2020,Galle,22.6,198.9,85.1,1.29,Guava,383.25,Pennywort,307.94
1/3/2020,Gampaha,37,16.3,76.3,1.2,Guava,256.7,Pennywort,104.27
1/3/2020,Hambantota,26.8,190.5,83.5,0.93,Guava,144.06,Pennywort,315.77
1/3/2020,Jaffna,26,115.5,60.7,0.99,Guava,129.72,Pennywort,139.22
1/3/2020,Kalutara,30.7,71.2,75.3,1.57,Guava,335.05,Pennywort,405.5
1/3/2020,Kandy,37.2,164.4,84.6,1.81,Guava,200.31,Pennywort,149.6
1/3/2020,Kegalle,22.6,41.9,93.8,1.96,Guava,418.03,Pennywort,309.24
1/3/2020,Kilinochchi,20.4,168.1,87.3,1.98,Guava,151.64,Pennywort,262.18
1/3/2020,Kurunegala,29.5,398.9,91.1,1.08,Guava,211.82,Pennywort,372.93
1/3/2020,Mannar,22.3,327.3,88.8,0.86,Guava,367.09,Pennywort,271.58
1/3/2020,Matale,31.7,398.3,69.7,1.67,Guava,89.93,Pennywort,395.42
1/3/2020,Matara,31,179.8,85.4,1.48,Guava,186.31,Pennywort,166.74
1/3/2020,Monaragala,33,215.5,94,1.92,Guava,325.72,Pennywort,391.55
1/3/2020,Mullaitivu,28.2,86.3,59.4,1.53,Guava,467.21,Pennywort,345.73
1/3/2020,Nuwara Eliya,32.4,65.8,80.8,1.96,Guava,57.31,Pennywort,492.95
1/3/2020,Polonnaruwa,37.2,327.4,64.4,1.94,Guava,180.7,Pennywort,146.75
1/3/2020,Puttalam,23.4,318,58.9,1.19,Guava,348.09,Pennywort,260.49
1/3/2020,Ratnapura,26.8,197.1,51.9,1.21,Guava,77.83,Pennywort,409.54
1/3/2020,Trincomalee,34.1,292.7,94.5,1.42,Guava,306.09,Pennywort,54.41
1/3/2020,Vavuniya,28.1,208.9,90.4,0.81,Guava,353.22,Pennywort,325.03
1/3/2020,Ampara,34.4,384,69.3,1.67,Passion Fruit,71.41,Leeks,183.33
1/3/2020,Anuradhapura,33,21.7,63.5,1.64,Passion Fruit,157.7,Leeks,115.57
1/3/2020,Badulla,35.7,121.8,73.5,1.73,Passion Fruit,111.98,Leeks,123.1
1/3/2020,Batticaloa,30.5,243.7,52.7,1.62,Passion Fruit,448.01,Leeks,410.05
1/3/2020,Colombo,35.4,3.2,93.1,0.54,Passion Fruit,187.53,Leeks,258.31
1/3/2020,Galle,22.6,198.9,85.1,1.29,Passion Fruit,454.98,Leeks,319.46
1/3/2020,Gampaha,37,16.3,76.3,1.2,Passion Fruit,125.3,Leeks,356.79
1/3/2020,Hambantota,26.8,190.5,83.5,0.93,Passion Fruit,146.91,Leeks,343.24
1/3/2020,Jaffna,26,115.5,60.7,0.99,Passion Fruit,372.67,Leeks,51.83
1/3/2020,Kalutara,30.7,71.2,75.3,1.57,Passion Fruit,187.43,Leeks,420.57
1/3/2020,Kandy,37.2,164.4,84.6,1.81,Passion Fruit,444.09,Leeks,198.35
1/3/2020,Kegalle,22.6,41.9,93.8,1.96,Passion Fruit,243.59,Leeks,146.18
1/3/2020,Kilinochchi,20.4,168.1,87.3,1.98,Passion Fruit,139.21,Leeks,396.13
1/3/2020,Kurunegala,29.5,398.9,91.1,1.08,Passion Fruit,118,Leeks,299.65
1/3/2020,Mannar,22.3,327.3,88.8,0.86,Passion Fruit,378.39,Leeks,137.27
1/3/2020,Matale,31.7,398.3,69.7,1.67,Passion Fruit,141.2,Leeks,473.61
1/3/2020,Matara,31,179.8,85.4,1.48,Passion Fruit,163.24,Leeks,318.45
1/3/2020,Monaragala,33,215.5,94,1.92,Passion Fruit,117.57,Leeks,372.55
1/3/2020,Mullaitivu,28.2,86.3,59.4,1.53,Passion Fruit,434.52,Leeks,298.85
1/3/2020,Nuwara Eliya,32.4,65.8,80.8,1.96,Passion Fruit,122.06,Leeks,364.4
1/3/2020,Polonnaruwa,37.2,327.4,64.4,1.94,Passion Fruit,431.99,Leeks,290.09
1/3/2020,Puttalam,23.4,318,58.9,1.19,Passion Fruit,312.84,Leeks,169.23
1/3/2020,Ratnapura,26.8,197.1,51.9,1.21,Passion Fruit,207.9,Leeks,209.65
1/3/2020,Trincomalee,34.1,292.7,94.5,1.42,Passion Fruit,358.17,Leeks,200.28
1/3/2020,Vavuniya,28.1,208.9,90.4,0.81,Passion Fruit,168.58,Leeks,271.26
1/3/2020,Ampara,34.4,384,69.3,1.67,Rambutan,343.14,Carrot,339.16
1/3/2020,Anuradhapura,33,21.7,63.5,1.64,Rambutan,417.68,Carrot,147.86
1/3/2020,Badulla,35.7,121.8,73.5,1.73,Rambutan,368.6,Carrot,99.1
1/3/2020,Batticaloa,30.5,243.7,52.7,1.62,Rambutan,312.09,Carrot,228.58
1/3/2020,Colombo,35.4,3.2,93.1,0.54,Rambutan,384.12,Carrot,211.15
1/3/2020,Galle,22.6,198.9,85.1,1.29,Rambutan,169.73,Carrot,403.41
1/3/2020,Gampaha,37,16.3,76.3,1.2,Rambutan,149.82,Carrot,339.11
1/3/2020,Hambantota,26.8,190.5,83.5,0.93,Rambutan,254.82,Carrot,366.97
1/3/2020,Jaffna,26,115.5,60.7,0.99,Rambutan,58.86,Carrot,249.8
1/3/2020,Kalutara,30.7,71.2,75.3,1.57,Rambutan,299.83,Carrot,289.88
1/3/2020,Kandy,37.2,164.4,84.6,1.81,Rambutan,377.05,Carrot,363.18
1/3/2020,Kegalle,22.6,41.9,93.8,1.96,Rambutan,202.13,Carrot,240.2
1/3/2020,Kilinochchi,20.4,168.1,87.3,1.98,Rambutan,250.5,Carrot,466.59
1/3/2020,Kurunegala,29.5,398.9,91.1,1.08,Rambutan,481.89,Carrot,152.74
1/4/2020,Mannar,22.3,327.3,88.8,0.86,Rambutan,426.87,Carrot,117.75
1/4/2020,Matale,31.7,398.3,69.7,1.67,Rambutan,216.22,Carrot,477.29
1/4/2020,Matara,31,179.8,85.4,1.48,Rambutan,371.73,Carrot,53.51
1/4/2020,Monaragala,33,215.5,94,1.92,Rambutan,369.51,Carrot,303.88
1/4/2020,Mullaitivu,28.2,86.3,59.4,1.53,Rambutan,193.33,Carrot,481.25
1/4/2020,Nuwara Eliya,32.4,65.8,80.8,1.96,Rambutan,167.82,Carrot,457.27
1/4/2020,Polonnaruwa,37.2,327.4,64.4,1.94,Rambutan,234.63,Carrot,131.44
1/4/2020,Puttalam,23.4,318,58.9,1.19,Rambutan,285.61,Carrot,100.91
1/4/2020,Ratnapura,26.8,197.1,51.9,1.21,Rambutan,280.24,Carrot,417.28
1/4/2020,Trincomalee,34.1,292.7,94.5,1.42,Rambutan,260.12,Carrot,344.08
1/4/2020,Vavuniya,28.1,208.9,90.4,0.81,Rambutan,250.15,Carrot,158.6
1/4/2020,Ampara,34.4,384,69.3,1.67,Mangosteen,190.35,Beetroot,139.57
1/4/2020,Anuradhapura,33,21.7,63.5,1.64,Mangosteen,122.22,Beetroot,435.05
1/4/2020,Badulla,35.7,121.8,73.5,1.73,Mangosteen,139.62,Beetroot,222.97
1/4/2020,Batticaloa,30.5,243.7,52.7,1.62,Mangosteen,280.83,Beetroot,323.97
1/4/2020,Colombo,35.4,3.2,93.1,0.54,Mangosteen,362.68,Beetroot,113.4
1/4/2020,Galle,22.6,198.9,85.1,1.29,Mangosteen,153.8,Beetroot,257.84
1/4/2020,Gampaha,37,16.3,76.3,1.2,Mangosteen,491.51,Beetroot,263.8
1/4/2020,Hambantota,26.8,190.5,83.5,0.93,Mangosteen,180.3,Beetroot,497.57
1/4/2020,Jaffna,26,115.5,60.7,0.99,Mangosteen,477.49,Beetroot,162.01
1/4/2020,Kalutara,30.7,71.2,75.3,1.57,Mangosteen,313.15,Beetroot,68.66
1/4/2020,Kandy,37.2,164.4,84.6,1.81,Mangosteen,287.13,Beetroot,85.62
1/4/2020,Kegalle,22.6,41.9,93.8,1.96,Mangosteen,470.85,Beetroot,441.3
1/4/2020,Kilinochchi,20.4,168.1,87.3,1.98,Mangosteen,311.76,Beetroot,96.47
1/4/2020,Kurunegala,29.5,398.9,91.1,1.08,Mangosteen,274.38,Beetroot,176.47
1/4/2020,Mannar,22.3,327.3,88.8,0.86,Mangosteen,420.78,Beetroot,349.49
1/4/2020,Matale,31.7,398.3,69.7,1.67,Mangosteen,113.41,Beetroot,147.46
1/4/2020,Matara,31,179.8,85.4,1.48,Mangosteen,179.95,Beetroot,385.03
1/4/2020,Monaragala,33,215.5,94,1.92,Mangosteen,235.91,Beetroot,469.72
1/4/2020,Mullaitivu,28.2,86.3,59.4,1.53,Mangosteen,395.59,Beetroot,352.9
1/4/2020,Nuwara Eliya,32.4,65.8,80.8,1.96,Mangosteen,82.66,Beetroot,262.56
1/4/2020,Polonnaruwa,37.2,327.4,64.4,1.94,Mangosteen,207.98,Beetroot,351.51
1/4/2020,Puttalam,23.4,318,58.9,1.19,Mangosteen,344.79,Beetroot,231.82
1/4/2020,Ratnapura,26.8,197.1,51.9,1.21,Mangosteen,295.37,Beetroot,222.09
1/4/2020,Trincomalee,34.1,292.7,94.5,1.42,Mangosteen,475.98,Beetroot,294.46
1/4/2020,Vavuniya,28.1,208.9,90.4,0.81,Mangosteen,472.73,Beetroot,189.2
1/4/2020,Ampara,34.4,384,69.3,1.67,Avocado,450.97,Cabbage,448.8
1/4/2020,Anuradhapura,33,21.7,63.5,1.64,Avocado,109.35,Cabbage,226.2
1/4/2020,Badulla,35.7,121.8,73.5,1.73,Avocado,357.22,Cabbage,133.4
1/4/2020,Batticaloa,30.5,243.7,52.7,1.62,Avocado,428.24,Cabbage,154.07
1/4/2020,Colombo,35.4,3.2,93.1,0.54,Avocado,110.69,Cabbage,228.2
1/4/2020,Galle,22.6,198.9,85.1,1.29,Avocado,465.56,Cabbage,134.97
1/4/2020,Gampaha,37,16.3,76.3,1.2,Avocado,321.35,Cabbage,168.76
1/4/2020,Hambantota,26.8,190.5,83.5,0.93,Avocado,247.65,Cabbage,174.98
1/4/2020,Jaffna,26,115.5,60.7,0.99,Avocado,363.1,Cabbage,373.72
1/4/2020,Kalutara,30.7,71.2,75.3,1.57,Avocado,282.5,Cabbage,295.47
1/4/2020,Kandy,37.2,164.4,84.6,1.81,Avocado,363.36,Cabbage,352.22
1/4/2020,Kegalle,22.6,41.9,93.8,1.96,Avocado,202.24,Cabbage,162.6
1/4/2020,Kilinochchi,20.4,168.1,87.3,1.98,Avocado,316.79,Cabbage,201.14
1/4/2020,Kurunegala,29.5,398.9,91.1,1.08,Avocado,440.05,Cabbage,198.1
1/4/2020,Mannar,22.3,327.3,88.8,0.86,Avocado,441.8,Cabbage,479.11
1/4/2020,Matale,31.7,398.3,69.7,1.67,Avocado,131.97,Cabbage,163.58
1/4/2020,Matara,31,179.8,85.4,1.48,Avocado,131.69,Cabbage,249.53
1/4/2020,Monaragala,33,215.5,94,1.92,Avocado,224.57,Cabbage,164.09
1/4/2020,Mullaitivu,28.2,86.3,59.4,1.53,Avocado,185.69,Cabbage,379.85
1/4/2020,Nuwara Eliya,32.4,65.8,80.8,1.96,Avocado,78.01,Cabbage,323.62
1/4/2020,Polonnaruwa,37.2,327.4,64.4,1.94,Avocado,386.09,Cabbage,123
1/4/2020,Puttalam,23.4,318,58.9,1.19,Avocado,192.54,Cabbage,362.07
1/4/2020,Ratnapura,26.8,197.1,51.9,1.21,Avocado,405.12,Cabbage,171.02
1/4/2020,Trincomalee,34.1,292.7,94.5,1.42,Avocado,331.48,Cabbage,147.71
1/4/2020,Vavuniya,28.1,208.9,90.4,0.81,Avocado,305.76,Cabbage,151.54
1/4/2020,Ampara,34.4,384,69.3,1.67,Rose Apple,325.51,Knol-Khol,51.27
1/4/2020,Anuradhapura,33,21.7,63.5,1.64,Rose Apple,280.89,Knol-Khol,90.61
1/4/2020,Badulla,35.7,121.8,73.5,1.73,Rose Apple,231.39,Knol-Khol,411.41
